,f_root,f_step,pic_lst,path,caption
0,f-FQD8HS7R,f-FQD8HS7R_step01_sent02,"['442.jpg', '440.jpg', '444.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FQD8HS7R/f-FQD8HS7R_step01_sent02_000,"[['a', 'person', 'in', 'tomatoes,', 'pink', 'frosting', '<end>'], ['blurry', 'air', 'white', 'vegetables', 'arranged', 'on', 'display', 'at', 'market.', '<end>'], ['the', 'woman', 'has', 'a', 'variety', 'of', 'pastries.', '<end>']]"
1,f-FQD8HS7R,f-FQD8HS7R_step04_sent01,"['516.jpg', '514.jpg', '512.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FQD8HS7R/f-FQD8HS7R_step04_sent01_005,"[['a', 'massive', 'pizza', 'filled', 'with', 'remote', 'on', 'it.', '<end>'], ['a', 'man', 'holding', 'tongs', 'in', 'the', 'distance.', '<end>'], ['an', 'asian', 'pizza', 'with', 'a', 'picture', 'of', 'food', 'on', 'top', 'of', 'a', 'table.', '<end>']]"
2,f-FQD8HS7R,f-FQD8HS7R_step03_sent01,"['1374.jpg', '1376.jpg', '1372.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FQD8HS7R/f-FQD8HS7R_step03_sent01_011,"[['a', 'close', 'up', 'of', 'a', 'knife', 'cutting', 'a', 'knife', 'cutting', 'a', 'dish', 'filled', 'with', 'metal', 'knife', 'cutting', 'board', 'topped', 'with', 'bananas.', '<end>'], ['the', 'man', 'looking', 'a', 'knife', 'in', 'a', 'red', 'table.', '<end>'], ['a', 'dish', 'in', 'a', 'white', 'plate', 'is', 'being', 'sliced', '[UNK]', 'of', 'beers', '<end>']]"
3,f-FQD8HS7R,f-FQD8HS7R_step02_sent02,"['320.jpg', '318.jpg', '316.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FQD8HS7R/f-FQD8HS7R_step02_sent02_005,"[['a', 'pan', 'is', 'preparing', 'bread', 'has', 'a', 'dinner', 'on', 'whipped', 'cream', '<end>'], ['a', 'boy', 'being', 'sliced', 'up', 'at', 'a', 'white', 'cutting', 'board', '<end>'], ['a', 'small', 'white', 'plate', 'looks', 'out', 'of', 'banana', 'and', 'a', 'picnic', 'table.', '<end>']]"
4,f-FQD8HS7R,f-FQD8HS7R_step02_sent01,"['20.jpg', '16.jpg', '18.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FQD8HS7R/f-FQD8HS7R_step02_sent01_004,"[['an', '[UNK]', 'blue', 'at', 'a', 'sign.', '<end>'], ['the', 'man', 'holding', 'a', 'woman', 'holding', 'a', 'well', '[UNK]', 'being', 'sliced', 'with', 'an', 'orange', 'hanging', 'in', 'a', 'white', 'bowl', 'with', '[UNK]', 'a', '[UNK]', 'and', 'an', 'bowl', 'with', 'thrown', 'overhead.', '<end>'], ['[UNK]', 'being', '[UNK]', 'and', '[UNK]', '[UNK]', '<end>']]"
5,f-FQD8HS7R,f-FQD8HS7R_step01_sent04,"['52.jpg', '56.jpg', '54.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FQD8HS7R/f-FQD8HS7R_step01_sent04_006,"[['a', 'woman', 'standing', 'up', 'their', 'cell', 'phone.', '<end>'], ['a', 'woman', 'in', 'her', 'mouth.', '<end>'], ['a', 'man', 'sitting', 'in', '[UNK]', '<end>']]"
6,f-FLNCYQMS,f-FLNCYQMS_step05_sent02,"['2310.jpg', '2312.jpg', '2308.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step05_sent02_004,"[['a', 'man', 'standing', 'outside', 'while', 'another', 'woman', 'that', 'is', 'holding', 'a', 'woman', 'standing', 'to', 'another', 'person', 'holding', 'a', 'picture', 'of', 'another', 'woman', 'standing', 'on', 'the', 'counter.', '<end>'], ['a', 'guy', 'fixing', 'a', 'person', 'holding', 'a', 'woman', 'staring', '[UNK]', '<end>'], ['there', 'are', 'two', 'chefs', 'in', 'a', 'court.', '<end>']]"
7,f-FLNCYQMS,f-FLNCYQMS_step04_sent02,"['1316.jpg', '1314.jpg', '1312.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step04_sent02_000,"[['a', 'young', 'person', 'wearing', 'a', 'cake', 'with', 'empty', 'kitchen', '<end>'], ['the', 'meal', 'steaming', 'pan', 'filled', 'with', 'food', 'up', 'broccoli.', '<end>'], ['a', 'half', 'food', 'displayed', 'on', 'a', 'table.', '<end>']]"
8,f-FLNCYQMS,f-FLNCYQMS_step04_sent01,"['402.jpg', '404.jpg', '400.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step04_sent01_007,"[['a', 'clean', 'dishes,', '[UNK]', 'brass', 'pots', 'on', 'a', 'stove', 'filled', 'with', 'an', '[UNK]', 'a', 'stove', 'with', 'some', 'dishes', 'full', 'of', 'a', 'stove', 'pots,', 'by', 'a', 'stove', 'a', 'stove', 'filled', 'with', 'green', 'potatoes', 'stacked', 'together', 'on', 'an', 'cooking', '[UNK]', '<end>'], ['a', 'kitchen', 'with', 'many', 'pans', 'piled', 'stove', 'with', 'stirring', 'cooking', 'on', 'a', 'stove', '<end>'], ['a', 'pan', 'has', 'some', 'holding', 'food', 'on', 'a', 'baking', 'setting.', '<end>']]"
9,f-FLNCYQMS,f-FLNCYQMS_step04_sent01,"['22.jpg', '24.jpg', '20.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step04_sent01_004,"[['an', 'artistic', 'display', 'of', 'wine', 'and', 'green', 'bananas.', '<end>'], ['a', 'single', 'close', 'up', 'picture', 'of', 'an', 'image', 'of', 'a', 'blender', 'and', 'a', 'toothbrush.', '<end>'], ['an', 'asian', 'kitchen', 'topped', 'with', 'orange', 'camera.', '<end>']]"
10,f-FLNCYQMS,f-FLNCYQMS_step03_sent01,"['788.jpg', '786.jpg', '784.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step03_sent01_000,"[['a', 'man', 'is', 'being', 'displayed', 'in', 'the', 'middle', 'of', 'a', 'pan', 'with', 'doughnuts.', '<end>'], ['a', 'woman', 'using', 'a', '[UNK]', 'blonde', 'hair', 'takes', 'a', 'hand', 'leaking', 'which', 'is', 'being', '[UNK]', '<end>'], ['a', 'man', 'posing', 'in', 'a', 'line', 'at', 'steps', 'in', 'it.', '<end>']]"
11,f-FLNCYQMS,f-FLNCYQMS_step02_sent01,"['1032.jpg', '1030.jpg', '1028.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step02_sent01_006,"[['various', 'taken', 'on', 'a', 'polka', 'dot', 'plate', 'near', 'a', 'table', '<end>'], ['a', 'sheet', 'frosted', 'frosted', 'frosted', 'frosted', 'with', 'frosted', 'cupcakes.', '<end>'], ['a', 'person', 'in', 'a', '[UNK]', 'a', 'sheet', 'over', 'a', 'banana.', '<end>']]"
12,f-FLNCYQMS,f-FLNCYQMS_step02_sent01,"['566.jpg', '568.jpg', '564.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step02_sent01_000,"[['a', 'person', 'eating', 'a', '[UNK]', '<end>'], ['a', 'close', 'up', 'of', 'frosted', 'cake', 'that', 'is', 'covered', 'in', 'a', 'red', 'pair', 'of', 'an', 'apple', 'on', 'a', 'table.', '<end>'], ['a', 'man', 'is', 'cutting', 'board', 'has', 'a', 'plate', 'of', 'food', 'on', 'a', 'wooden', 'table.', '<end>']]"
13,f-FLNCYQMS,f-FLNCYQMS_step01_sent01,"['356.jpg', '358.jpg', '360.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FLNCYQMS/f-FLNCYQMS_step01_sent01_000,"[['a', 'various', 'bagels', 'and', 'pink', 'umbrella', 'in', 'a', 'blender', 'full', 'of', 'a', 'display', 'of', 'an', 'oven', 'sitting', 'on', 'the', 'shelf', '<end>'], ['a', 'knife', 'on', 'the', 'wall', 'next', 'to', 'some', 'cups', '<end>'], ['a', 'blender', 'on', 'the', '[UNK]', '<end>']]"
14,f-FDML6BVQ,f-FDML6BVQ_step06_sent01,"['648.jpg', '644.jpg', '646.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FDML6BVQ/f-FDML6BVQ_step06_sent01_000,"[['a', 'basket', 'coming', 'paying', 'bananas', 'and', 'a', '[UNK]', 'of', '[UNK]', 'with', 'large', 'piece', 'of', 'vanilla', 'in', 'the', 'background', '<end>'], ['two', 'women', 'is', 'holding', 'a', 'banana', 'in', 'half.', '<end>'], ['a', 'donut', 'has', 'been', 'eaten', 'frosted', 'donut', 'that', 'is', 'covered', 'with', 'a', 'white', 'frosted', 'with', 'smiling', '[UNK]', 'holding', 'a', 'donut', 'with', 'a', 'slice', 'of', 'frosted', 'doughnut', 'covered', 'in', 'a', '[UNK]', 'holding', 'a', 'white', 'frosting', 'and', '[UNK]', 'holding', 'a', 'beverage', 'in', 'some', 'white', 'frosting', '<end>']]"
15,f-FDML6BVQ,f-FDML6BVQ_step02_sent01,"['570.jpg', '568.jpg', '572.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-FDML6BVQ/f-FDML6BVQ_step02_sent01_000,"[['a', 'young', 'child', 'holding', 'a', 'cake', 'with', 'red', 'frosted', 'cake', 'in', 'them.', '<end>'], ['a', 'person', 'taking', 'a', 'frosted', 'layer', 'three', 'frosted', 'donut', 'in', 'his', 'hand', '<end>'], ['a', 'pretty', 'woman', 'cutting', 'a', 'cake', 'is', 'going', 'to', 'a', 'wooden', 'cutting', 'a', 'cookie,', 'and', 'a', 'sliced', 'up', 'a', '[UNK]', '<end>']]"
16,f-DYVRK65Q,f-DYVRK65Q_step07_sent02,"['1134.jpg', '1132.jpg', '1136.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step07_sent02_013,"[['cooking', 'on', 'the', 'stove', 'that', 'are', 'lying', 'near', 'a', '[UNK]', 'some', 'water.', '<end>'], ['an', 'old', 'fashioned', 'in', 'a', 'large', 'pot.', '<end>'], ['a', 'picture', 'of', 'a', 'pan', 'that', 'has', 'large', 'piece', 'of', 'fresh', 'vegetables', 'on', 'the', 'stove', 'is', 'on', 'the', 'stove', 'in', 'a', 'kitchen', '<end>']]"
17,f-DYVRK65Q,f-DYVRK65Q_step07_sent01,"['140.jpg', '144.jpg', '142.jpg']",/content/drive/MyDrive/PY/SemEval2022/images/f-DYVRK65Q/f-DYVRK65Q_step07_sent01_001,"[['the', '[UNK]', 'into', 'the', 'whole', 'steel', 'oven', 'on', 'the', '[UNK]', 'to', 'be', 'eaten', '<end>'], ['a', 'stove', 'with', 'lots', 'of', 'food.', '<end>'], ['a', 'wooden', 'food', 'on', 'the', 'table', '<end>']]"
